ts_iso,ts_unix,red,ir,bpm,rmssd_s,gsr,gsr_mean_5s,gsr_slope_1s,gsr_peak_10s,bio_arousal_score,bio_confidence,ppg_quality,finger_on,gsr_fresh,note
2026-02-25 13:21:57,1771993317.950,1321,1318,,,,,,0,0.000,0.000,0.000,0,0,finger_off
2026-02-25 13:21:58,1771993318.950,1314,1317,,,,,,0,0.000,0.000,0.000,0,0,finger_off
2026-02-25 13:21:59,1771993319.950,1317,1318,,,251,251.00,0.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 13:22:00,1771993320.950,1318,1312,,,217,234.00,0.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 13:22:01,1771993321.950,3972,5974,,,196,221.33,-55.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 13:22:02,1771993322.950,11506,17814,,,179,210.75,-72.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 13:22:03,1771993323.950,157174,203927,,,168,202.20,-83.00,0,0.308,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:22:04,1771993324.950,171931,248893,,,162,184.40,-89.00,0,0.308,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:22:05,1771993325.950,170807,246309,,,156,172.20,-95.00,0,0.308,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:22:06,1771993326.950,168782,244507,,,154,169.17,-97.00,0,0.308,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:22:07,1771993327.950,169037,244615,,,149,157.80,-102.00,0,0.308,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:22:08,1771993328.950,167722,243134,,,148,153.80,-103.00,0,0.308,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:22:09,1771993329.950,167640,242738,,,145,152.33,-72.00,0,0.308,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:22:10,1771993330.950,167445,247455,,,145,149.50,-51.00,0,0.262,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:22:11,1771993331.950,170368,249027,,,144,146.20,-52.00,0,0.267,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:22:12,1771993332.950,166897,242123,,,144,145.83,-24.00,0,0.123,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:22:13,1771993333.950,165632,240103,,,143,144.20,-19.00,0,0.098,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:22:14,1771993334.950,165186,239869,,,141,143.67,-21.00,0,0.108,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:22:15,1771993335.950,164619,238535,,,142,143.17,-14.00,0,0.072,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:22:16,1771993336.950,164463,238362,,,139,141.80,-10.00,0,0.051,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:22:17,1771993337.950,165699,241503,,,142,141.83,-7.00,0,0.036,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:22:18,1771993338.950,167841,243312,62.5,,139,141.00,-9.00,0,0.046,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:22:19,1771993339.950,167380,235906,62.1,0.2438,140,140.40,-5.00,0,0.020,0.416,0.165,1,1,
2026-02-25 13:22:20,1771993340.950,168177,237307,62.1,0.2438,140,140.00,-5.00,0,0.020,0.416,0.165,1,1,
2026-02-25 13:22:21,1771993341.950,167942,241047,62.1,0.2438,139,139.83,-5.00,0,0.020,0.416,0.165,1,1,
2026-02-25 13:22:22,1771993342.950,168298,241718,62.5,0.2004,140,140.00,-4.00,0,0.029,0.597,0.425,1,1,
2026-02-25 13:22:23,1771993343.950,167890,239896,62.5,0.2004,138,139.40,-5.00,0,0.031,0.597,0.425,1,1,
2026-02-25 13:22:24,1771993344.950,166947,236921,62.5,0.2004,138,139.17,-4.00,0,0.029,0.597,0.425,1,1,
2026-02-25 13:22:25,1771993345.950,163999,232263,62.5,0.2004,138,138.83,-1.00,0,0.023,0.597,0.425,1,1,
2026-02-25 13:22:26,1771993346.950,163843,234046,62.5,0.2004,139,138.67,0.00,0,0.021,0.597,0.425,1,1,
2026-02-25 13:22:27,1771993347.950,164058,237734,,0.2004,138,138.20,-1.00,0,0.003,0.559,0.370,1,1,
2026-02-25 13:22:28,1771993348.950,163667,236488,,0.2004,138,138.20,-2.00,0,0.005,0.440,0.200,1,1,
2026-02-25 13:22:29,1771993349.950,163051,234498,,0.2004,139,138.40,-1.00,0,0.003,0.440,0.200,1,1,
2026-02-25 13:22:30,1771993350.950,,,,0.2004,138,138.33,-2.00,0,0.005,0.440,0.200,1,1,
2026-02-25 13:22:31,1771993351.950,,,,0.2004,139,138.40,0.00,0,0.000,0.440,0.200,1,1,
2026-02-25 13:22:32,1771993352.950,,,,0.2004,139,138.60,1.00,0,0.003,0.440,0.200,1,1,
2026-02-25 13:22:33,1771993353.950,,,,0.2004,141,139.20,3.00,0,0.008,0.440,0.200,1,1,
2026-02-25 13:22:34,1771993354.950,,,,0.2004,138,139.00,0.00,0,0.000,0.440,0.200,1,1,
2026-02-25 13:22:35,1771993355.950,,,,0.2004,140,139.40,1.00,0,0.003,0.440,0.200,1,1,
