ts_iso,ts_unix,red,ir,bpm,rmssd_s,gsr,gsr_mean_5s,gsr_slope_1s,gsr_peak_10s,bpm_c,rmssd_inv,gsr_slope_c,gsr_peak_c,bio_arousal,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-02-25 19:39:12,1772015952.694,7730,9781,,,,,,0,,,0.00,0.00,0.0,0.0,0.0,0,0,finger_off
2026-02-25 19:39:13,1772015953.694,12628,14828,,,,,,0,,,0.00,0.00,0.0,0.0,0.0,0,0,finger_off
2026-02-25 19:39:14,1772015954.694,897,1408,,,237,237.0,0.0,0,,,0.00,0.00,0.0,0.0,0.0,0,1,finger_off
2026-02-25 19:39:15,1772015955.694,1190,1694,,,208,222.5,-29.0,0,,,1.00,0.00,0.7,0.0,0.0,0,1,finger_off
2026-02-25 19:39:16,1772015956.694,895,1029,,,186,210.3,-51.0,0,,,1.00,0.00,0.7,0.0,0.0,0,1,finger_off
2026-02-25 19:39:17,1772015957.694,886,1029,,,172,200.8,-65.0,0,,,1.00,0.00,0.7,0.0,0.0,0,1,finger_off
2026-02-25 19:39:18,1772015958.694,885,1030,,,169,194.4,-68.0,0,,,1.00,0.00,0.7,0.0,0.0,0,1,finger_off
2026-02-25 19:39:19,1772015959.694,892,1027,,,154,177.8,-83.0,0,,,1.00,0.00,0.7,0.0,0.0,0,1,finger_off
2026-02-25 19:39:20,1772015960.694,893,1016,,,156,167.4,-81.0,0,,,1.00,0.00,0.7,0.0,0.0,0,1,finger_off
2026-02-25 19:39:21,1772015961.694,900,1033,,,151,160.4,-86.0,0,,,1.00,0.00,0.7,0.0,0.0,0,1,finger_off
2026-02-25 19:39:22,1772015962.694,896,1012,,,144,157.7,-93.0,0,,,1.00,0.00,0.7,0.0,0.0,0,1,finger_off
2026-02-25 19:39:23,1772015963.694,899,1025,,,140,149.0,-97.0,0,,,1.00,0.00,0.7,0.0,0.0,0,1,finger_off
2026-02-25 19:39:24,1772015964.694,914,1094,,,138,147.2,-70.0,0,,,1.00,0.00,0.7,0.0,0.0,0,1,finger_off
2026-02-25 19:39:25,1772015965.694,929,1053,,,145,145.7,-41.0,0,,,1.00,0.00,0.7,0.0,0.0,0,1,finger_off
2026-02-25 19:39:26,1772015966.694,926,1069,,,142,141.8,-30.0,0,,,1.00,0.00,0.7,0.0,0.0,0,1,finger_off
2026-02-25 19:39:27,1772015967.694,910,1081,,,141,141.2,-28.0,0,,,1.00,0.00,0.7,0.0,0.0,0,1,finger_off
2026-02-25 19:39:28,1772015968.694,932,1083,,,138,140.7,-16.0,0,,,0.80,0.00,0.6,0.0,0.0,0,1,finger_off
2026-02-25 19:39:29,1772015969.694,930,1053,,,140,140.7,-14.0,0,,,0.70,0.00,0.5,0.0,0.0,0,1,finger_off
2026-02-25 19:39:30,1772015970.694,936,1055,,,141,141.2,-15.0,0,,,0.75,0.00,0.5,0.0,0.0,0,1,finger_off
2026-02-25 19:39:31,1772015971.694,926,1077,,,139,140.2,-12.0,0,,,0.60,0.00,0.4,0.0,0.0,0,1,finger_off
2026-02-25 19:39:32,1772015972.694,925,1073,,,143,140.3,-1.0,0,,,0.05,0.00,0.0,0.0,0.0,0,1,finger_off
2026-02-25 19:39:33,1772015973.694,931,1066,,,139,140.0,-1.0,0,,,0.05,0.00,0.0,0.0,0.0,0,1,finger_off
2026-02-25 19:39:34,1772015974.694,920,1057,,,140,140.3,2.0,0,,,0.10,0.00,0.1,0.0,0.0,0,1,finger_off
2026-02-25 19:39:35,1772015975.694,906,1050,,,141,140.4,-1.0,0,,,0.05,0.00,0.0,0.0,0.0,0,1,finger_off
2026-02-25 19:39:36,1772015976.694,905,1053,,,141,140.8,0.0,0,,,0.00,0.00,0.0,0.0,0.0,0,1,finger_off
2026-02-25 19:39:37,1772015977.694,921,1055,,,139,140.0,-2.0,0,,,0.10,0.00,0.1,0.0,0.0,0,1,finger_off
2026-02-25 19:39:38,1772015978.694,908,1035,,,140,140.0,2.0,0,,,0.10,0.00,0.1,0.0,0.0,0,1,finger_off
2026-02-25 19:39:39,1772015979.694,902,1055,,,142,140.6,1.0,0,,,0.05,0.00,0.0,0.0,0.0,0,1,finger_off
2026-02-25 19:39:40,1772015980.694,902,1039,,,138,140.0,-1.0,0,,,0.05,0.00,0.0,0.0,0.0,0,1,finger_off
2026-02-25 19:39:41,1772015981.694,905,1039,,,140,139.8,-3.0,0,,,0.15,0.00,0.1,0.0,0.0,0,1,finger_off
2026-02-25 19:39:42,1772015982.694,913,1032,,,138,139.5,-1.0,0,,,0.05,0.00,0.0,0.0,0.0,0,1,finger_off
2026-02-25 19:39:43,1772015983.694,910,1038,,,140,139.6,0.0,0,,,0.00,0.00,0.0,0.0,0.0,0,1,finger_off
2026-02-25 19:39:44,1772015984.694,927,1033,,,140,139.2,-1.0,0,,,0.05,0.00,0.0,0.0,0.0,0,1,finger_off
2026-02-25 19:39:45,1772015985.694,926,1037,,,139,139.2,-2.0,0,,,0.10,0.00,0.1,0.0,0.0,0,1,finger_off
2026-02-25 19:39:46,1772015986.694,927,1050,,,144,140.2,5.0,0,,,0.25,0.00,0.2,0.0,0.0,0,1,finger_off
2026-02-25 19:39:47,1772015987.694,931,1059,,,139,140.4,-1.0,0,,,0.05,0.00,0.0,0.0,0.0,0,1,finger_off
2026-02-25 19:39:48,1772015988.694,1169,1598,,,143,140.8,1.0,0,,,0.05,0.00,0.0,0.0,0.0,0,1,finger_off
2026-02-25 19:39:49,1772015989.694,14163,16835,,,140,140.8,-2.0,0,,,0.10,0.00,0.1,0.0,0.0,0,1,finger_off
2026-02-25 19:39:50,1772015990.694,162490,225865,,,133,139.7,-5.0,0,,,0.25,0.00,0.2,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:39:51,1772015991.694,166193,237916,,,134,138.8,-6.0,0,,,0.30,0.00,0.2,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:39:52,1772015992.694,166044,238357,,,133,137.0,-5.0,0,,,0.25,0.00,0.2,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:39:53,1772015993.694,165404,237710,,,135,135.0,-5.0,0,,,0.25,0.00,0.2,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:39:54,1772015994.694,164624,235582,,,135,134.0,-5.0,0,,,0.25,0.00,0.2,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:39:55,1772015995.694,164121,234460,,,136,134.6,-8.0,0,,,0.40,0.00,0.3,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:39:56,1772015996.694,164216,234779,,,136,135.0,-8.0,0,,,0.40,0.00,0.3,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:39:57,1772015997.694,164395,235317,,,136,135.6,-7.0,0,,,0.35,0.00,0.2,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:39:58,1772015998.694,165217,237999,,,136,135.7,-4.0,0,,,0.20,0.00,0.1,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:39:59,1772015999.694,165291,238483,42.1,,135,135.8,2.0,0,0.00,,0.10,0.00,0.0,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:40:00,1772016000.694,164403,235377,42.1,,136,135.8,3.0,0,0.00,,0.15,0.00,0.1,0.4,0.2,1,1,hrv_warming_up(need~30s)
