ts_iso,ts_unix,red,ir,bpm,rmssd,rmssd_ema,gsr,gsr_mean_5s,gsr_slope_1s,eda_tonic,eda_phasic_rms_10s,eda_scr_rate_per_min,baseline_ready,z_hr,z_lnrmssd,z_eda,S,arousal_rel,arousal,calm,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-03-03 23:12:41,1772547161.751,56275,77087,,,,,,,,,,0,0.00,0.00,0.00,0.00,,,,0.12,0.00,1,0,hrv_warming_up(need~30s)
2026-03-03 23:12:42,1772547162.751,151019,232497,,,,,,,,,,0,0.00,0.00,0.00,0.00,,,,0.12,0.00,1,0,hrv_warming_up(need~30s)
2026-03-03 23:12:43,1772547163.751,151698,234782,,,,247,253.9,0.0,258.8,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-03 23:12:44,1772547164.751,150485,230531,,,,214,235.3,-33.0,256.0,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-03 23:12:45,1772547165.751,151111,235059,,,,195,221.7,-19.0,250.9,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-03 23:12:46,1772547166.751,151127,236028,,,,184,211.9,-11.0,245.0,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-03 23:12:47,1772547167.751,150105,231585,,,,173,204.0,-11.0,238.5,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-03 23:12:48,1772547168.751,150252,232817,,,,173,193.8,0.0,232.2,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-03 23:12:49,1772547169.751,150466,234443,,,,163,181.3,-10.0,225.7,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-03 23:12:50,1772547170.751,149651,232161,80.6,,,161,172.5,-2.0,219.6,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 23:12:51,1772547171.751,149984,233715,81.7,,,156,166.6,-5.0,213.6,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 23:12:52,1772547172.751,149051,230554,84.5,,,158,162.4,2.0,208.4,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.97,0.95,1,1,hrv_warming_up(need~30s)
2026-03-03 23:12:53,1772547173.751,150020,235089,87.7,,,157,160.0,-1.0,203.5,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.92,0.88,1,1,hrv_warming_up(need~30s)
2026-03-03 23:12:54,1772547174.751,148621,229359,86.2,,,153,158.2,-4.0,199.2,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.94,0.91,1,1,hrv_warming_up(need~30s)
2026-03-03 23:12:55,1772547175.751,148784,230254,83.3,,,159,157.1,6.0,194.8,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.93,0.90,1,1,hrv_warming_up(need~30s)
2026-03-03 23:12:56,1772547176.752,148922,231074,78.2,,,153,156.2,-6.0,191.0,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.86,0.81,1,1,hrv_warming_up(need~30s)
