ts_iso,ts_unix,red,ir,bpm,rmssd_raw_s,rmssd_ema_s,rr_count_30s,gsr,gsr_mean_5s,gsr_slope_1s,gsr_peak_10s,bio_arousal,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-03-04 00:12:15,1772550735.954,18716,43529,,,,0,,,,0,0.0,0.00,0.00,0,0,finger_off
2026-03-04 00:12:16,1772550736.954,142832,223214,,,,0,,,,0,0.0,0.12,0.00,1,0,hrv_warming_up(need~30s)
2026-03-04 00:12:17,1772550737.954,143249,225530,,,,0,235,243.7,0.0,0,0.0,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:12:18,1772550738.954,142288,222722,,,,0,204,224.0,-31.0,0,0.7,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:12:19,1772550739.954,141971,222639,,,,0,187,211.5,-17.0,0,0.6,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:12:20,1772550740.954,142173,225254,,,,0,177,202.6,-10.0,0,0.3,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:12:21,1772550741.954,141298,221757,78.9,,,1,169,195.7,-8.0,0,0.3,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-04 00:12:22,1772550742.954,140877,221315,80.6,,,2,165,186.6,-4.0,0,0.2,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-04 00:12:23,1772550743.954,141233,224238,80.0,,,3,161,176.1,-4.0,0,0.2,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-04 00:12:24,1772550744.954,140615,222462,83.8,,,5,160,168.9,-1.0,0,0.2,0.95,0.93,1,1,hrv_warming_up(need~30s)
2026-03-04 00:12:25,1772550745.954,140796,224493,83.6,,,6,156,164.1,-4.0,0,0.3,0.96,0.94,1,1,hrv_warming_up(need~30s)
2026-03-04 00:12:26,1772550746.954,140840,225599,83.5,,,7,156,160.6,0.0,0,0.2,0.97,0.96,1,1,hrv_warming_up(need~30s)
2026-03-04 00:12:27,1772550747.954,140193,223611,78.6,,,9,153,158.0,-3.0,0,0.2,0.90,0.86,1,1,hrv_warming_up(need~30s)
2026-03-04 00:12:28,1772550748.954,140069,223926,75.5,,,10,153,155.9,0.0,0,0.1,0.87,0.82,1,1,hrv_warming_up(need~30s)
2026-03-04 00:12:29,1772550749.954,140061,225080,75.5,,,10,151,154.3,-2.0,0,0.2,0.87,0.82,1,1,hrv_warming_up(need~30s)
2026-03-04 00:12:30,1772550750.954,139954,225188,75.5,,,10,151,153.1,0.0,0,0.1,0.87,0.82,1,1,hrv_warming_up(need~30s)
2026-03-04 00:12:31,1772550751.954,139326,222806,77.7,0.061,0.061,12,150,152.1,-1.0,0,0.3,0.89,0.85,1,1,
