ts_iso,ts_unix,red,ir,bpm_raw,bpm_filt,rmssd_raw,rmssd_ema,rmssd_filt,gsr_raw,gsr_filt,gsr_slope_1s,gsr_peak_10s,arousal_raw,arousal_filt,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-03-04 01:08:22,1772554102.868,42757,65137,,,,,,,,,0,0.00,0.00,0.12,0.00,1,0,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 01:08:23,1772554103.869,1733,5227,,,,,,,,,0,0.00,0.00,0.00,0.00,0,0,finger_off|hold_low_ppgQ
2026-03-04 01:08:24,1772554104.869,940,3692,,,,,,250,252,0.0,0,0.00,0.00,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:08:25,1772554105.869,28171,47256,,,,,,221,221,-31.0,0,0.70,0.50,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:08:26,1772554106.869,120141,156804,,,,,,200,201,-20.0,0,0.70,0.64,0.30,0.00,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 01:08:27,1772554107.869,146422,222818,115.4,115.4,,,,190,190,-11.0,0,0.61,0.63,0.44,0.20,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 01:08:28,1772554108.869,146366,225758,115.4,115.4,,,,179,180,-10.0,0,0.59,0.62,0.44,0.20,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 01:08:29,1772554109.869,146016,224503,115.4,115.4,,,,174,174,-6.0,0,0.52,0.59,0.44,0.20,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 01:08:30,1772554110.869,146928,229196,115.4,115.4,,,,170,169,-5.0,0,0.51,0.56,0.44,0.20,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 01:08:31,1772554111.869,145163,222592,115.4,115.4,,,,167,167,-2.0,0,0.45,0.53,0.44,0.20,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 01:08:32,1772554112.869,144903,222670,115.4,115.4,,,,164,164,-3.0,0,0.47,0.51,0.44,0.20,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 01:08:33,1772554113.869,145104,224046,115.4,115.4,,,,163,163,-1.0,0,0.44,0.48,0.44,0.20,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 01:08:34,1772554114.869,144998,224367,96.4,96.4,,,,161,161,-1.0,0,0.30,0.42,0.44,0.20,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 01:08:35,1772554115.869,143753,221049,84.7,84.7,,,,156,156,-5.0,0,0.29,0.38,0.52,0.32,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 01:08:36,1772554116.869,143534,220837,80.7,80.7,,,,159,157,-1.0,0,0.20,0.32,0.58,0.39,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 01:08:37,1772554117.869,143931,223055,80.0,80.0,,,,158,158,1.0,0,0.19,0.28,0.63,0.47,1,1,hrv_warming_up(need~30s)
2026-03-04 01:08:38,1772554118.869,142390,217739,81.3,81.3,,,,159,157,-1.0,0,0.20,0.25,0.88,0.83,1,1,hrv_warming_up(need~30s)
2026-03-04 01:08:39,1772554119.869,142204,217806,81.3,81.3,,,,155,155,-2.0,0,0.22,0.24,0.88,0.83,1,1,hrv_warming_up(need~30s)
2026-03-04 01:08:40,1772554120.869,142229,218430,80.3,80.3,,,,155,158,3.0,0,0.23,0.24,0.90,0.86,1,1,hrv_warming_up(need~30s)
2026-03-04 01:08:41,1772554121.869,134588,195618,80.3,80.3,,,,152,152,-6.0,0,0.28,0.27,0.90,0.86,1,1,hrv_warming_up(need~30s)
2026-03-04 01:08:42,1772554122.869,137834,203617,80.3,80.3,,,,153,153,1.0,0,0.19,0.24,0.90,0.86,1,1,hrv_warming_up(need~30s)
2026-03-04 01:08:43,1772554123.869,141584,214948,80.3,80.3,,,,153,153,0.0,0,0.18,0.22,0.90,0.86,1,1,hrv_warming_up(need~30s)
2026-03-04 01:08:44,1772554124.869,143033,220690,81.5,81.5,,,,151,152,-1.0,0,0.20,0.21,0.90,0.85,1,1,hrv_warming_up(need~30s)
2026-03-04 01:08:45,1772554125.869,142603,219170,81.5,81.5,,,,152,152,0.0,0,0.18,0.20,0.90,0.85,1,1,hrv_warming_up(need~30s)
2026-03-04 01:08:46,1772554126.869,143036,221626,81.5,81.5,,,,150,150,-2.0,0,0.22,0.21,0.90,0.85,1,1,hrv_warming_up(need~30s)
2026-03-04 01:08:47,1772554127.869,143096,222720,81.5,81.5,,,,151,151,1.0,0,0.20,0.21,0.90,0.85,1,1,hrv_warming_up(need~30s)
2026-03-04 01:08:48,1772554128.869,143082,223507,81.5,81.5,,,,150,151,1.0,0,0.20,0.21,0.90,0.85,1,1,hrv_warming_up(need~30s)
2026-03-04 01:08:49,1772554129.869,142043,219737,81.5,81.5,,,,151,151,0.0,0,0.18,0.20,0.90,0.85,1,1,hrv_warming_up(need~30s)
2026-03-04 01:08:50,1772554130.869,142328,221459,80.5,81.5,,,,150,150,-1.0,0,0.20,0.20,0.44,0.20,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 01:08:51,1772554131.869,142434,222882,79.9,81.5,,,,151,151,1.0,0,0.20,0.20,0.44,0.20,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 01:08:52,1772554132.869,142389,223388,76.7,76.7,0.107,0.107,0.107,149,149,-2.0,0,0.17,0.19,0.95,0.93,1,1,
