ts_iso,ts_unix,red,ir,bpm_raw,bpm_filt,rmssd_raw,rmssd_ema,rmssd_filt,gsr_raw,gsr_filt,gsr_slope_1s,gsr_peak_10s,arousal_raw,arousal_filt,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-03-04 09:38:34,1772584714.388,1239,1142,,,,,,,,,0,0.00,0.00,0.00,0.00,0,0,finger_off|hold_low_ppgQ
2026-03-04 09:38:35,1772584715.388,1244,1146,,,,,,,,,0,0.00,0.00,0.00,0.00,0,0,finger_off|hold_low_ppgQ
2026-03-04 09:38:36,1772584716.388,1239,1142,,,,,,256,256,0.0,0,0.00,0.00,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:38:37,1772584717.388,1311,2480,,,,,,228,228,-28.0,0,0.70,0.50,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:38:38,1772584718.388,1444,1291,,,,,,220,220,-8.0,0,0.28,0.43,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:38:39,1772584719.388,1068,1167,,,,,,205,205,-15.0,0,0.52,0.50,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:38:40,1772584720.388,867,936,,,,,,206,206,1.0,0,0.03,0.34,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:38:41,1772584721.388,852,942,,,,,,193,193,-17.0,0,0.59,0.52,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:38:42,1772584722.388,788,890,,,,,,192,192,-1.0,0,0.03,0.36,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:38:43,1772584723.388,797,894,,,,,,184,184,-8.0,0,0.28,0.34,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:38:44,1772584724.388,868,917,,,,,,184,186,2.0,0,0.07,0.25,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:38:45,1772584725.388,883,929,,,,,,182,182,-4.0,0,0.14,0.21,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:38:46,1772584726.388,874,958,,,,,,178,180,-2.0,0,0.07,0.17,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:38:47,1772584727.388,912,986,,,,,,179,179,-1.0,0,0.03,0.12,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:38:48,1772584728.388,878,928,,,,,,178,177,-2.0,0,0.07,0.11,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:38:49,1772584729.388,876,956,,,,,,181,181,4.0,0,0.14,0.13,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:38:50,1772584730.388,888,957,,,,,,174,177,-4.0,0,0.14,0.14,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:38:51,1772584731.388,899,942,,,,,,178,178,1.0,0,0.03,0.10,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:38:52,1772584732.388,877,951,,,,,,175,172,-10.0,0,0.35,0.28,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:38:53,1772584733.388,865,920,,,,,,175,175,3.0,0,0.10,0.22,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:38:54,1772584734.388,846,910,,,,,,175,175,0.0,0,0.00,0.15,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:38:55,1772584735.388,801,877,,,,,,175,175,0.0,0,0.00,0.10,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:38:56,1772584736.388,882,934,,,,,,181,178,3.0,0,0.10,0.10,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:38:57,1772584737.388,884,923,,,,,,172,172,-6.0,0,0.21,0.18,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:38:58,1772584738.388,891,945,,,,,,174,177,5.0,0,0.17,0.18,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:38:59,1772584739.388,894,945,,,,,,170,170,-7.0,0,0.24,0.23,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:39:00,1772584740.388,896,974,,,,,,171,174,4.0,0,0.14,0.20,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:39:01,1772584741.388,935,941,,,,,,173,173,-1.0,0,0.03,0.14,0.00,0.00,0,1,finger_off|hold_low_ppgQ
