ts_iso,ts_unix,red,ir,bpm,rmssd_raw_s,rmssd_ema_s,rr_count_30s,gsr,gsr_mean_5s,gsr_slope_1s,gsr_peak_10s,bio_arousal,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-05-05 22:41:03,1777988463.395,661,764,,,,0,,,0.00,0,0.000,0.000,0.000,0,0,NO_FINGER
2026-05-05 22:41:04,1777988464.395,655,762,,,,0,,,0.00,0,0.000,0.000,0.000,0,0,NO_FINGER
2026-05-05 22:41:05,1777988465.395,655,763,,,,0,675.00,675.29,-3.33,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 22:41:06,1777988466.395,689,766,,,,0,675.00,675.04,0.00,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 22:41:07,1777988467.395,665,780,,,,0,675.00,674.98,0.00,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 22:41:08,1777988468.395,633,727,,,,0,676.00,674.94,1.04,0,0.030,0.000,0.000,0,1,NO_FINGER
2026-05-05 22:41:09,1777988469.395,662,757,,,,0,675.00,674.94,1.02,0,0.029,0.000,0.000,0,1,NO_FINGER
2026-05-05 22:41:10,1777988470.395,655,764,,,,0,675.00,674.92,0.00,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 22:41:11,1777988471.395,648,765,,,,0,675.00,674.91,1.02,0,0.029,0.000,0.000,0,1,NO_FINGER
2026-05-05 22:41:12,1777988472.395,649,765,,,,0,674.00,674.88,-1.04,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 22:41:13,1777988473.395,655,763,,,,0,675.00,674.87,1.02,0,0.029,0.000,0.000,0,1,NO_FINGER
2026-05-05 22:41:14,1777988474.395,657,764,,,,0,674.00,674.84,-1.06,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 22:41:15,1777988475.395,651,761,,,,0,675.00,674.81,0.00,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 22:41:16,1777988476.395,653,765,,,,0,675.00,674.80,0.00,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 22:41:17,1777988477.395,654,760,,,,0,675.00,674.84,-1.02,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 22:41:18,1777988478.395,655,762,,,,0,675.00,674.85,0.00,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 22:41:19,1777988479.395,661,760,,,,0,675.00,674.85,0.00,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 22:41:20,1777988480.395,661,749,,,,0,675.00,674.85,0.00,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 22:41:21,1777988481.395,655,796,,,,0,675.00,674.83,0.00,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 22:41:22,1777988482.395,651,736,,,,0,675.00,674.84,-1.09,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 22:41:23,1777988483.395,652,758,,,,0,675.00,674.84,1.02,0,0.029,0.000,0.000,0,1,NO_FINGER
2026-05-05 22:41:24,1777988484.395,653,760,,,,0,675.00,674.84,0.00,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 22:41:25,1777988485.395,654,763,,,,0,675.00,674.84,0.00,0,0.000,0.000,0.000,0,1,NO_FINGER
